Office,Origin,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
High-income ,Resident,340168,169699,172217,398638,430414,438327,454850,481041,489508,501855,524993,552962,573034,579679,581602,638289,658052,680990,697044,733896,802699,806903,795251,811223,841509,875548,874300,896888,886122,839499,861022,866434
High-income ,Non-Resident,234589,186994,181493,210388,205187,199301,191406,194223,211957,215872,209256,221460,225397,210194,213338,265213,299986,321008,333390,357126,382485,432498,423869,421832,442820,471393,505008,522538,527325,496199,527785,535076
Honduras ,Resident,6,,63,16,4,12,,12,,,6,,,,,7,10,,11,8,4,7,7,,,,,,,,,2
Honduras ,Non-Resident,40,,183,24,19,16,,31,27,,17,,30,,,40,126,,,148,135,155,161,,,,,,,,,253
Hungary ,Resident,1601,2124,2344,2760,2869,2904,2847,3229,3262,2657,2477,2210,1497,1139,1162,1096,803,737,690,729,810,919,842,756,748,705,718,689,683,757,649,662
Hungary ,Non-Resident,1571,1528,1559,1530,1606,1531,1606,1630,1629,1666,1976,1799,1633,1323,1328,1793,850,888,904,3779,4127,4529,5064,4054,1909,497,206,102,89,30,47,36
Iceland ,Resident,19,14,18,32,28,21,29,28,16,18,17,34,28,34,22,19,16,22,41,35,51,49,71,57,66,47,45,61,50,64,57,50
Iceland ,Non-Resident,58,79,62,62,70,71,92,91,110,87,113,99,121,112,108,49,75,216,254,357,825,713,379,748,463,545,326,53,31,22,19,21
India ,Resident,1207,1067,1128,,1003,982,999,988,1033,1048,1147,1267,1248,1209,1588,1545,1661,1926,2247,2206,2206,2379,2693,3425,4014,4721,5686,6296,6425,7262,8853,8841
India ,Non-Resident,1817,1834,1948,,2291,2493,2497,2520,2504,2600,2673,2328,2176,2511,3212,5021,6901,8229,6707,2620,6332,8213,8772,9188,13452,19661,23242,28922,30387,27025,30909,33450
Indonesia ,Resident,5,,16,40,26,49,32,62,,113,,34,67,38,29,61,40,79,93,152,157,212,234,201,227,235,288,,,437,516,541
Indonesia ,Non-Resident,475,,636,682,559,731,591,601,,661,,1280,3905,2031,2305,2813,3957,3939,1753,2784,3733,3714,3609,3099,3441,4069,4324,,,4103,5122,5297
Iran (Islamic Republic of) ,Resident,169,286,202,213,162,183,,207,167,141,182,262,225,278,266,278,288,284,337,366,410,691,910,1287,2426,4051,5970,,,,,
Iran (Islamic Republic of) ,Non-Resident,493,321,273,280,312,223,,165,173,170,173,165,175,164,131,129,227,115,159,177,206,302,285,355,356,443,557,,,,,
Iraq ,Resident,19,26,47,33,124,296,199,272,272,247,,,149,164,112,76,68,,,,,,,,,,,,,,,
Iraq ,Non-Resident,126,107,129,128,94,77,54,49,52,75,,,25,28,25,24,18,,,,,,,,,,,,,,,
Ireland ,Resident,394,461,434,567,651,726,743,719,727,736,734,786,752,788,811,840,793,796,985,996,925,1019,914,862,787,789,838,847,931,908,733,494
Ireland ,Non-Resident,2355,2649,2676,2527,2721,2614,2678,2846,3174,3494,4001,3794,2203,229,198,150,134,144,123,118,155,150,68,77,58,75,97,78,76,53,59,67
Israel ,Resident,669,727,707,687,696,790,819,823,995,1042,1052,1087,1400,1318,1261,1266,1218,1441,1950,2053,1599,1248,1213,1329,1544,316,257,1615,1528,1387,1450,1360
Israel ,Non-Resident,2104,2132,2207,2295,2690,2727,2830,3035,2859,3048,2856,2630,2327,2635,2701,3159,2101,1445,3106,3904,5203,8627,5095,4569,4870,4808,7239,6394,6214,5387,5856,5526
Italy ,Resident,6369,,,,,2000,,,2289,,,,7568,7493,7872,,6997,,,6281,7877,,,,,,,9255,8588,8814,8877,8794
Italy ,Non-Resident,9971,,,12080,,7851,,,8000,,,,486,483,439,,1678,,,1172,1396,,,,,,,870,861,903,846,927
Jamaica ,Resident,,,,15,10,,,3,,,4,4,6,9,6,7,2,9,,,11,4,15,9,11,10,21,6,15,17,14,20
Jamaica ,Non-Resident,,,,93,93,,,101,,,77,39,59,64,60,54,77,61,,,90,72,54,41,61,59,132,157,121,110,142,93
Japan ,Resident,165730,,,227708,256195,274348,290132,310908,308775,317353,332952,335564,337498,331774,319261,333770,339045,349211,357379,357531,384201,382815,365204,358184,368416,367960,347060,333498,330110,295315,290081,287580
Japan ,Non-Resident,25290,,,24977,26119,25503,26030,25976,26984,27787,27752,26026,24699,23726,21940,35061,37629,52407,44716,46926,35342,57433,56601,54909,54665,59118,61614,62793,60892,53281,54517,55030
Jordan ,Resident,,,,,,,,,,11,,,,,,,,,,,71,52,21,25,42,49,75,59,50,60,45,40
Jordan ,Non-Resident,68,91,24,,,,,,,61,,,,,,,,,,,127,147,117,157,141,169,428,507,535,446,429,360
Kazakhstan ,Resident,,,,,,,,,,,,,433,3223,1393,1031,1022,1171,1244,1352,1399,1607,,1696,,1523,1433,,11,1513,1691,1415
Kazakhstan ,Non-Resident,,,,,,,,,,,,,12,1205,183,342,325,303,159,111,116,99,,102,,103,124,,162,314,273,317
Kenya ,Resident,,,,,,,,,1,,,8,,14,,,15,22,27,25,,,23,22,31,34,41,41,63,48,77,
Kenya ,Non-Resident,96,75,76,100,122,98,107,108,55,65,,20,,37,,,38,40,34,30,,,49,73,53,59,41,91,89,123,120,
Kiribati ,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati ,Non-Resident,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,
Kyrgyzstan ,Resident,,,,,,,,,,,,,,,132,119,126,152,111,60,80,84,123,179,,,,155,135,,134,
Kyrgyzstan ,Non-Resident,,,,,,,,,,,,,,,259,29,142,55,12,2,4,14,5,1,,,,3,3,,6,
Latin America and the Caribbean ,Resident,4939,4517,4377,5389,5344,3207,3140,3810,3331,3587,4590,4441,3852,4528,4289,4380,4781,4702,4247,4688,5140,5007,5170,5473,5897,6222,6080,6318,6397,5385,4230,1802
Latin America and the Caribbean ,Non-Resident,18232,19234,17104,15134,14402,10674,10690,11432,10033,11275,13878,14397,17288,18725,21650,16790,22350,30138,27291,38944,42640,37805,34741,35395,38216,41818,48807,47942,49476,37781,40436,22552
Latvia ,Resident,,,,,,,,,,,,,73,155,179,210,196,162,195,91,98,117,150,91,108,112,114,139,206,240,178,173
Latvia ,Non-Resident,,,,,,,,,,,,,70,163,87,90,273,40,90,91,81,63,64,24,43,57,37,8,9,3,7,10
Lebanon ,Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebanon ,Non-Resident,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho ,Resident,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,
Lesotho ,Non-Resident,,,,,,,,,,14,,,,,,2,,,,,,,,,,,,,,,,
Liberia ,Resident,,,,,,,,,,,,6,,14,,,,,,,,,,,,,,,,,,
Liberia ,Non-Resident,,,,,,,,,,,,11,,21,,,,,,,,,,,,,,,,,,
Libya ,Resident,,,,,,,,,,3,10,25,,15,10,6,12,,,,,,,,,,,,,,,
Libya ,Non-Resident,,,,,,,,,,24,47,22,,21,21,37,23,,,,,,,,,,,,,,,
Lithuania ,Resident,,,,,,,,,,,,29,134,413,112,106,100,125,134,86,66,68,85,64,70,68,65,62,87,91,108,93
Lithuania ,Non-Resident,,,,,,,,,,,,,117,1036,180,27,78,77,71,71,61,55,46,49,44,47,34,20,18,16,6,15
Low-income ,Resident,90,97,101,106,128,103,67,103,104,73,89,146,140,156,251,334,300,245,254,224,242,249,277,372,211,6051,6459,7116,283,8071,8313,39
Low-income ,Non-Resident,1077,949,922,924,846,514,460,523,421,365,326,275,287,284,792,879,629,688,804,691,973,1009,705,652,635,791,905,1067,1316,945,478,333
Lower middle-income ,Resident,1539,1307,1562,348,1562,1774,1548,1701,1752,1832,1815,1973,2806,13884,9861,9385,8177,8732,10140,10210,10650,12652,7305,8185,10582,11270,11637,12161,11816,12359,14476,14050
Lower middle-income ,Non-Resident,5831,4930,5991,4047,5690,6665,5900,5889,5219,6132,6414,6973,9737,10966,10729,14732,18549,20484,17972,15051,20160,21325,19034,19872,25552,34273,39561,43024,44547,42997,50312,52142
Luxembourg ,Resident,97,109,94,,58,81,80,69,68,58,41,52,,73,50,35,52,48,44,24,85,51,41,16,23,24,26,15,48,60,79,85
Luxembourg ,Non-Resident,897,708,616,,496,439,407,300,248,169,165,119,,166,74,69,77,102,68,86,91,70,42,8,18,64,26,25,23,24,21,43
Madagascar ,Resident,,,,,,,,,,,,,,,9,22,7,9,14,10,7,,4,3,16,7,4,9,14,1,9,3
Madagascar ,Non-Resident,,,,,,,,,,,,,,,20,16,23,36,30,37,48,38,25,20,22,35,40,67,63,43,34,58
Malawi ,Resident,2,7,3,1,,,,,1,1,,1,2,3,1,1,2,2,2,1,3,,,,,,,,,,,
Malawi ,Non-Resident,51,41,49,37,26,35,39,53,33,34,33,21,12,15,12,33,30,26,18,,17,313,,,,,,,,,,
Malaysia ,Resident,,,,,,8,29,71,73,84,92,106,151,198,223,141,221,179,193,218,206,271,322,376,522,522,531,670,818,1234,1231,1076
Malaysia ,Non-Resident,,,,,,1329,233,3195,1547,1803,2213,2321,2260,2684,3364,3911,5354,6272,5770,5624,6021,5663,4615,4686,4920,5764,4269,1702,4485,4503,5152,5376
