United States Billion-Dollar Disasters Cost (CPI-Adjusted)
Cost values are in billions of dollars
State,Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
US,2010,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.8,4.2,6.1,4.0,6.4,3.8,6.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,12.7,12.4,14.2,12.0,14.7,11.8,15.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.2,1.1,1.4,1.1,1.6,1.1,1.6,7,19.7,17.7,21.7,17.1,22.7,16.7,23.6
US,2011,1,16.8,15.1,17.2,14.7,17.8,14.6,18.2,2,7.0,6.7,8.1,6.5,8.4,6.1,8.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,44.0,40.4,47.1,39.2,49.2,37.7,51.7,2,21.8,19.1,23.7,18.5,24.7,18.2,25.3,1,2.5,2.1,2.7,1.9,2.9,1.8,3.0,2,3.8,3.2,3.7,3.0,4.1,3.0,4.2,18,95.9,86.6,102.5,83.8,107.1,81.4,111.1
US,2012,1,40.8,39.3,44.1,38.5,45.3,37.9,46.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,22.0,20.0,22.5,19.6,23.1,19.6,23.5,2,90.2,74.9,98.8,70.9,104.0,68.6,107.1,1,2.3,2.0,2.5,2.0,2.7,1.9,2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,155.3,136.2,167.9,131.0,175.1,128.0,179.4
US,2013,1,14.0,13.3,15.3,12.9,15.7,12.6,16.1,2,3.4,3.0,4.2,2.8,4.5,2.8,4.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,14.2,13.0,15.1,12.7,15.5,12.6,16.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,31.6,29.3,34.6,28.4,35.7,28.0,36.7
US,2014,1,5.2,4.5,5.9,4.2,6.3,4.0,6.6,1,1.3,1.3,1.5,1.0,1.5,1.0,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,15.6,14.8,16.5,14.6,17.2,14.4,17.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.9,2.8,3.2,2.5,3.3,2.4,3.4,10,25.0,23.4,27.1,22.3,28.3,21.8,29.0
US,2015,1,5.9,5.3,7.5,5.0,8.2,4.8,8.6,2,5.9,4.9,6.0,4.6,6.3,4.4,6.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,10.7,10.0,11.5,9.8,12.1,9.7,12.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.9,3.6,4.1,3.5,4.1,3.5,4.3,1,3.9,3.8,4.1,3.7,4.2,3.5,4.3,11,30.3,27.6,33.2,26.6,34.9,25.9,36.2
US,2016,1,4.5,3.1,4.9,2.9,5.2,2.6,5.5,4,20.8,16.1,24.3,15.2,25.7,14.2,26.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,18.9,16.5,19.2,15.8,19.7,15.7,20.5,1,12.8,9.5,14.0,9.2,14.3,9.0,14.7,1,3.1,2.7,3.2,2.6,3.2,2.6,3.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,60.1,47.9,65.6,45.7,68.1,44.1,70.6
US,2017,1,3.2,2.4,3.4,2.3,3.7,2.2,3.8,2,4.0,3.0,4.6,2.8,4.8,2.7,5.1,1,1.3,1.0,1.4,1.0,1.5,0.9,1.5,11,24.3,22.7,25.9,21.6,26.6,20.8,28.3,3,331.3,267.5,383.9,240.7,421.9,225.1,437.6,1,22.7,18.6,25.8,17.9,27.7,17.6,28.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,386.8,315.2,445.0,286.3,486.2,269.3,504.7
US,2018,1,3.7,3.3,4.2,3.2,4.3,3.1,4.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,16.5,15.0,17.7,14.3,19.1,13.9,20.2,2,59.8,48.8,70.8,42.7,76.9,37.2,82.4,1,29.5,24.4,34.8,23.4,35.7,22.1,36.9,2,4.0,3.5,4.5,3.2,4.7,3.1,4.9,16,113.5,95.0,132.0,86.8,140.7,79.4,149.1
US,2019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,24.3,19.4,28.4,18.5,29.9,17.5,33.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,16.7,15.3,18.6,14.5,19.4,13.9,20.7,2,7.9,5.1,10.1,4.8,10.8,4.3,11.5,1,5.4,4.0,6.4,3.6,7.2,3.0,7.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,54.3,43.8,63.5,41.4,67.3,38.7,73.6
US,2020,1,5.3,4.6,6.0,4.4,6.3,4.2,6.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,39.7,36.7,43.3,35.1,45.3,33.7,47.2,7,53.6,44.6,59.1,42.0,59.7,40.0,63.1,1,19.6,16.1,23.2,15.5,22.4,14.9,24.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,118.2,102.0,131.6,97.0,133.7,92.8,141.2
US,2021,1,9.9,9.4,10.5,8.9,11.3,8.4,11.9,2,2.8,2.5,3.3,2.4,3.5,2.1,3.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,22.7,19.2,25.2,18.7,26.5,17.5,27.6,4,87.0,74.0,100.8,70.0,104.7,63.4,112.0,1,11.9,9.7,13.6,9.0,14.4,8.4,14.9,1,26.5,23.4,30.8,22.6,31.7,21.3,32.9,20,160.8,138.2,184.2,131.6,192.1,121.1,203.1
US,2022,1,23.1,20.6,26.3,19.7,26.8,18.9,27.9,1,1.5,1.2,1.8,1.1,1.9,1.0,2.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,22.5,20.6,23.5,19.6,24.4,18.9,25.6,3,120.0,98.8,135.7,92.1,144.3,83.1,155.6,1,3.2,2.6,3.7,2.5,3.8,2.4,4.0,1,8.8,7.9,9.4,7.5,10.1,7.1,10.7,18,179.1,151.7,200.4,142.5,211.3,131.4,225.9
US,2023,1,14.5,12.9,17.0,12.3,17.6,11.6,18.4,4,9.2,7.6,10.8,6.7,11.6,6.1,12.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,54.2,48.2,57.4,46.2,60.0,44.5,62.0,2,7.8,6.4,8.7,6.0,9.8,5.5,10.5,1,5.6,4.0,6.2,3.7,6.7,3.4,7.3,1,1.8,1.5,2.1,1.4,2.2,1.3,2.3,28,93.1,80.6,102.2,76.3,107.9,72.4,113.0
US,2024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.7,1.5,1.9,1.4,2.0,1.3,2.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.7,1.5,1.9,1.4,2.0,1.3,2.1
